Alemán;Español;Tipo
sogennant;así llamado, supuesto;adv
r Unterhalt;financiación;nombre
e Hilfsorganisation, -en;ONG;nombre
entgelten;compensación;verbo
verschmutzen;contaminar;verbo
schwächen;debilitar;verbo
vermeiden;evitar;verbo
e Fähigkeit;talento, habilidad, capacidad;nombre
aufhören;parar;verbo
gehören;pertenecer;verbo
zuhören;escuchar;verbo
entfernen;eliminar,alejar;verbo
r Vorsatz,'-e;propósito;nombre
sich anstecken mit bei;contagiarse;verbo
e Ausgangssperre, -n;toque de queda;nombre
betreffen;concernir, referirse a, afectar;verbo
r Durchschnitt, -e;promedio;nombre
e Verfügung, -en;orden, decreto;nombre
r Impfstoff, -e;vacuna;nombre
s Bedürfnis, -se;necesidad;nombre
bestanden;aprobar;verbo
verzichten auf;renunciar a;verbo
stattdessen;en lugar de esto;otros
